4,25,41,0
16,27,78,1
76,25,83,0
11,23,87,1
74,32,63,0
48,39,78,0
70,29,54,0
10,29,38,1
77,23,60,0
27,29,38,1
92,26,53,0
36,22,79,0
52,19,31,0
86,28,54,0
40,39,58,0
65,23,44,0
55,32,72,0
11,24,71,1
73,17,75,0
83,38,47,0
57,34,40,0
88,25,79,0
39,17,81,0
23,25,35,1
11,22,80,1
79,18,51,0
94,27,68,0
16,20,83,1
87,33,31,0
55,39,65,0
48,20,51,0
11,26,46,1
62,26,35,0
59,38,50,0
88,25,81,0
75,22,39,0
25,19,66,1
31,22,69,0
47,27,39,0
55,20,32,0
20,22,66,1
25,20,52,1
70,18,38,0
41,34,35,0
40,22,78,0
59,25,64,0
91,38,61,0
42,18,57,0
11,31,67,1
74,28,84,0
91,35,79,0
78,31,75,0
29,30,57,1
70,26,68,0
58,35,62,0
54,23,68,0
17,25,60,1
37,28,31,0
41,25,50,0
41,16,56,0
80,22,33,0
90,34,86,0
27,36,50,1
38,23,89,0
85,16,84,0
69,16,48,0
58,19,44,0
76,18,88,0
11,29,60,1
25,28,68,1
39,34,72,0
91,38,71,0
20,37,66,1
33,27,54,0
71,28,87,0
20,39,84,1
27,39,55,1
53,20,58,0
27,21,66,1
79,28,62,0
38,29,62,0
51,17,35,0
17,16,69,1
68,34,36,0
26,39,85,1
68,34,71,0
53,22,67,0
79,30,48,0
25,36,43,1
86,33,84,0
34,38,51,0
85,26,46,0
33,35,53,0
18,19,31,1
83,19,37,0
33,22,48,0
14,38,70,1
41,31,57,0
31,35,72,0
13,17,34,1
76,29,81,0
70,26,45,0
72,34,58,0
27,38,71,1
41,32,38,0
36,31,60,0
80,20,58,0
88,20,85,0
50,25,32,0
42,19,54,0
48,21,39,0
83,37,65,0
51,22,31,0
50,22,50,0
75,39,82,0
21,22,37,1
46,33,35,0
67,33,55,0
69,22,62,0
49,27,76,0
64,34,56,0
61,20,71,0
44,24,44,0
51,32,89,0
31,38,53,0
73,37,89,0
83,37,31,0
37,33,64,0
56,22,76,0
62,36,55,0
46,29,76,0
44,28,39,0
26,22,35,1
68,22,30,0
84,21,39,0
37,35,32,0
88,38,69,0
44,36,70,0
32,32,38,0
46,26,49,0
80,25,31,0
19,26,74,1
86,20,86,0
59,35,66,0
25,23,51,1
82,17,31,0
34,25,74,0
93,28,41,0
67,37,61,0
91,20,37,0
85,37,88,0
20,34,78,1
32,37,72,0
25,26,45,1
71,27,30,0
92,33,80,0
20,26,68,1
93,17,58,0
27,22,58,1
73,24,84,0
78,19,66,0
82,28,58,0
37,33,57,0
67,34,69,0
18,23,51,1
16,17,72,1
35,26,54,0
85,24,86,0
50,28,84,0
38,38,59,0
83,37,73,0
27,16,84,1
93,25,43,0
60,32,61,0
94,24,54,0
79,31,47,0
94,20,68,0
75,27,68,0
27,36,78,1
83,24,65,0
13,31,59,1
14,33,69,1
89,21,49,0
43,39,66,0
94,38,73,0
18,34,44,1
28,31,70,1
13,20,65,1
68,27,73,0
72,19,59,0
86,28,79,0
82,34,64,0
37,22,81,0
31,22,50,0
24,36,83,1
61,19,75,0
79,25,79,0
75,19,60,0
57,32,56,0
91,28,49,0
73,37,63,0
28,37,63,1
43,20,42,0
20,20,30,1
82,39,79,0
24,34,80,1
91,30,43,0
17,18,50,1
69,37,48,0
75,38,44,0
44,27,49,0
15,37,57,1
89,23,40,0
18,25,77,1
11,29,57,1
14,17,31,1
73,21,89,0
33,28,55,0
34,39,79,0
43,33,39,0
46,18,76,0
78,32,81,0
77,16,36,0
52,17,32,0
67,20,78,0
47,28,60,0
35,34,72,0
16,22,39,1
75,24,39,0
86,37,37,0
13,24,58,1
31,32,41,0
91,22,49,0
42,16,47,0
54,24,70,0
46,17,83,0
86,28,67,0
36,31,35,0
42,34,77,0
76,26,34,0
73,39,76,0
19,32,84,1
80,16,40,0
79,24,77,0
18,31,79,1
51,38,80,0
38,33,73,0
12,36,83,1
79,36,34,0
33,19,35,0
51,17,71,0
14,24,58,1
87,17,81,0
85,32,48,0
10,22,74,1
43,31,77,0
67,39,58,0
52,20,64,0
57,23,34,0
57,19,88,0
87,24,62,0
19,21,47,1
22,35,59,1
15,19,59,1
27,19,86,1
39,19,43,0
72,18,60,0
88,27,49,0
52,20,80,0
54,31,54,0
87,23,44,0
42,39,62,0
37,39,49,0
39,21,75,0
21,18,71,1
25,22,52,1
26,27,34,1
56,26,52,0
19,32,87,1
47,27,57,0
92,16,30,0
21,23,59,1
19,21,32,1
12,26,39,1
85,21,55,0
48,21,59,0
19,39,34,1
26,25,44,1
92,35,78,0
59,27,40,0
94,19,69,0
23,19,62,1
72,33,35,0
23,28,72,1
45,23,66,0
36,22,44,0
25,33,40,1
93,28,84,0
11,28,39,1
33,28,40,0
56,30,51,0
64,33,38,0
70,28,66,0
22,34,39,1
57,26,70,0
73,40,19,0
46,28,57,0
19,19,77,1
48,30,36,0
15,34,28,1
28,30,33,1
39,34,29,0
30,29,44,1
55,20,57,0
73,36,21,0
32,25,50,0
67,16,77,0
25,16,80,0
47,28,50,0
29,30,39,1
49,24,62,0
28,27,58,1
31,19,74,0
33,34,33,0
68,32,34,0
59,37,26,0
37,26,67,0
49,29,55,0
24,17,76,0
22,16,75,0
36,20,63,0
68,34,50,0
18,27,49,1
17,16,81,0
15,16,79,0
40,25,58,0
29,30,52,1
44,22,66,0
67,21,71,0
85,32,50,0
47,29,57,0
21,31,51,1
45,23,61,0
28,34,45,1
67,33,41,0
11,27,52,1
74,18,77,0
36,30,51,0
